,Sites,visits,bound on lambda,Epochs,true_lam,est_lam,true_p,est_p,true_avg_N,est_avg_N,true_total_N,est_total_N,N_mae,num_accepted,acceptance_rate,total_time,prop_sparsity
0,5.0,6.0,15.0,40000.0,5.0,4.887713586687835,0.25,0.3935447688551495,6.0,4.672262408746958,30.0,23.36131204373479,1.6672155738524617,2863.0,0.0954333333333333,25.5103,0.1333333333333333
1,10.0,6.0,15.0,40000.0,5.0,6.541458066469602,0.25,0.2175561076640106,5.9,6.386556218540617,59.0,63.865562185406176,1.2386812893763124,807.0,0.0269,35.69169,0.2833333333333333
2,20.0,6.0,15.0,40000.0,5.0,8.970152635600023,0.25,0.1576181696961007,5.35,8.981992733091102,107.0,179.63985466182206,3.631992733091103,71.0,0.0023666666666666,58.3271,0.3083333333333333
3,40.0,6.0,15.0,40000.0,5.0,7.33286051075765,0.25,0.1701275183057258,5.125,7.672961598719956,205.0,306.91846394879826,2.636672889096303,16.0,0.0005333333333333,104.60454,0.2958333333333333
4,100.0,6.0,15.0,40000.0,5.0,9.37375626468424,0.25,0.1323235507125163,5.08,9.037675589186303,508.0,903.7675589186306,4.2040744691489715,26.0,0.0008666666666666,241.78,0.2933333333333333
5,20.0,6.0,6.0,40000.0,2.0,4.50376343102463,0.25,0.099900339725126,2.0,4.518058935297843,40.0,90.36117870595686,2.518058935297843,105.0,0.0035,55.18132,0.6416666666666667
6,20.0,6.0,15.0,40000.0,5.0,8.970152635600023,0.25,0.1576181696961007,5.35,8.981992733091102,107.0,179.63985466182206,3.631992733091103,71.0,0.0023666666666666,58.40189,0.3083333333333333
7,20.0,6.0,45.0,40000.0,15.0,11.988674128943998,0.25,0.2788396626481597,14.9,11.986282876095869,298.0,239.72565752191736,3.0232674422480748,31.0,0.0010333333333333,58.5055,0.025
8,20.0,6.0,90.0,40000.0,30.0,38.160903120026134,0.25,0.1828500965984812,30.0,39.478399279976,600.0,789.56798559952,9.478399279976,40.0,0.0013333333333333,58.76314,0.0
9,20.0,6.0,15.0,40000.0,5.0,8.478137343993948,0.1,0.0672293657284389,5.35,8.532267742258076,107.0,170.6453548451615,3.182267742258076,84.0,0.0028,58.37304,0.5666666666666667
10,20.0,6.0,15.0,40000.0,5.0,8.970152635600023,0.25,0.1576181696961007,5.35,8.981992733091102,107.0,179.63985466182206,3.631992733091103,71.0,0.0023666666666666,59.17341,0.3083333333333333
11,20.0,6.0,15.0,40000.0,5.0,7.363749307159324,0.5,0.3893662086743845,5.35,7.1020784026134205,107.0,142.04156805226842,1.7655021834061135,39.0,0.0013,59.04822,0.05
12,20.0,6.0,15.0,40000.0,5.0,9.966424367195684,0.75,0.4282837508361651,5.35,9.445921530717692,107.0,188.91843061435384,4.095921530717691,36.0,0.0012,58.24616,0.0083333333333333
13,20.0,2.0,15.0,40000.0,5.0,7.325846843505572,0.25,0.1728705843858289,5.35,7.338809626987566,107.0,146.77619253975132,2.285406180206007,360.0,0.012,56.34876,0.225
14,20.0,6.0,15.0,40000.0,5.0,8.970152635600023,0.25,0.1576181696961007,5.35,8.981992733091102,107.0,179.63985466182206,3.631992733091103,71.0,0.0023666666666666,59.43021,0.3083333333333333
15,20.0,12.0,15.0,40000.0,5.0,11.89504721067338,0.25,0.110658776234203,5.35,11.789707990266344,107.0,235.79415980532687,6.439707990266342,39.0,0.0013,65.13826,0.3125
16,20.0,20.0,15.0,40000.0,5.0,13.25128272523444,0.25,0.1109175854395847,5.35,11.907500250008331,107.0,238.15000500016663,6.557500250008333,40.0,0.0013333333333333,69.00125,0.275
