lambda,p,avg_N,total_N,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9,N_10,N_11,N_12,N_13,N_14,N_15,N_16,N_17,N_18,N_19,N_20
3.2425871484251174,0.1917987286871914,2.65,53,2,4,1,4,2,4,2,1,1,5,1,1,1,3,3,4,3,5,2,4
2.499023333285451,0.12032890239259897,3.2,64,4,3,4,4,5,5,4,2,2,4,1,1,5,4,3,1,4,4,2,2
1.9498269675305844,0.17738694133444743,2.8,56,2,2,4,1,2,5,5,1,1,3,4,3,3,3,3,1,4,4,2,3
2.4985198805939803,0.1439011202335697,3.2,64,4,2,5,4,4,5,4,1,2,4,2,2,2,2,4,2,1,5,5,4
3.9861728709562936,0.13594201254905824,3.0,60,3,2,2,4,4,5,2,2,1,3,5,1,2,4,5,1,5,4,1,4
2.4700449568294243,0.12564239954347123,3.1,62,3,3,4,4,4,3,3,1,1,5,2,1,4,5,5,2,1,4,4,3
4.4618419142797725,0.17579703278990755,3.2,64,2,3,5,5,2,5,3,2,3,4,5,2,4,3,4,2,4,4,1,1
3.4565067384736694,0.17865347476925464,2.95,59,5,4,4,1,1,5,2,1,1,4,2,2,2,2,3,5,2,5,4,4
2.2461513468805534,0.1363007798152538,2.8,56,1,4,5,3,3,3,4,1,2,2,5,3,1,3,3,2,5,3,1,2
2.5848749407979126,0.17666387204600753,3.05,61,5,3,5,2,4,3,4,1,5,3,1,3,2,4,4,2,2,4,1,3
3.5801191031606026,0.20806265143260572,2.6,52,2,2,2,1,3,4,2,1,5,5,2,3,5,4,3,1,1,3,1,2
1.3695226594929912,0.14256593452698318,2.7,54,3,4,2,3,3,5,4,1,2,2,4,1,1,2,5,1,3,5,1,2
2.653631860469696,0.12692099724868233,3.2,64,2,3,4,3,5,4,2,2,5,3,2,2,4,4,5,1,3,3,3,4
2.552895485581235,0.16480854126864208,2.85,57,2,3,1,2,3,5,3,1,4,3,1,3,3,1,3,5,2,5,5,2
3.2014808722517283,0.1510259819868861,2.8,56,3,2,3,3,2,4,1,5,1,4,2,3,3,2,4,1,2,3,5,3
2.681255778537527,0.13357154153526107,2.9,58,5,2,5,1,3,4,3,4,2,4,1,1,4,1,5,4,3,4,1,1
4.082879713794016,0.1377606062236838,3.35,67,4,3,5,2,2,4,5,1,2,5,2,3,3,5,5,4,5,2,1,4
4.387409592928898,0.12899520941662956,3.35,67,5,5,5,3,3,3,4,2,4,3,3,3,2,2,3,3,5,3,3,3
2.83492415732378,0.22381400140093122,2.5,50,2,2,3,4,4,3,5,1,1,2,1,5,2,1,3,1,2,3,4,1
2.434017056908785,0.12463960738681623,2.9,58,1,4,3,2,1,5,3,4,1,5,5,1,2,3,3,3,5,4,1,2
3.774098561636351,0.2116140255192246,2.45,49,5,2,3,2,2,3,2,2,1,4,2,2,2,3,4,1,4,3,1,1
2.9376353208688606,0.12739365766523014,2.45,49,3,2,3,4,1,3,2,2,1,2,3,1,2,3,5,1,4,2,4,1
2.5875989413746288,0.12582165238821674,3.0,60,2,4,4,3,2,5,4,1,1,2,2,4,3,4,4,5,2,2,5,1
4.046278994531618,0.11540359869315742,3.25,65,3,4,4,4,1,5,3,3,4,3,4,2,4,4,4,2,2,3,2,4
2.8704632808943717,0.16124045941477994,2.95,59,3,5,4,5,2,5,1,2,3,2,3,2,2,3,3,5,2,5,1,1
3.7774750777265105,0.10390463514619952,3.05,61,3,4,4,2,3,5,5,3,1,3,1,4,3,3,5,1,1,4,3,3
2.7534939989235903,0.2186946740242488,2.55,51,1,4,2,4,3,3,3,2,2,5,2,2,1,1,4,2,2,2,2,4
2.432787860004021,0.19554627971950422,2.5,50,4,3,5,1,3,4,3,3,1,3,1,2,3,1,3,3,1,2,1,3
3.5042894287626054,0.12835693657009073,2.5,50,1,4,4,3,2,3,2,2,2,4,1,1,2,2,4,3,2,3,4,1
2.821520902150775,0.16120087973464625,2.9,58,2,3,5,2,3,5,1,1,1,2,4,2,4,4,4,4,2,5,2,2
2.1922602419948047,0.1256187854553108,2.85,57,4,5,3,4,4,3,4,1,2,3,2,1,5,2,5,1,2,4,1,1
4.08474833487232,0.14388080600222874,3.25,65,2,4,3,3,4,5,5,2,4,3,2,4,3,2,5,3,2,4,4,1
3.4564597886377952,0.1591653289414129,2.7,54,1,5,4,4,4,3,3,2,1,4,2,3,3,1,5,1,3,3,1,1
2.0957171677905846,0.20464167760037788,2.65,53,5,3,3,2,3,5,3,2,2,5,2,1,1,1,4,1,1,5,2,2
2.5116084267734364,0.21375797254323303,2.7,54,1,5,5,2,1,5,2,2,1,3,2,1,4,5,4,2,3,2,3,1
2.2183534640039486,0.1278627619025875,2.7,54,2,4,3,3,1,5,4,1,4,2,2,2,1,2,4,4,1,5,1,3
2.9698867309968957,0.1546266227362174,2.85,57,1,5,4,1,4,4,2,1,2,5,2,4,4,3,4,1,4,4,1,1
