lambda,p,avg_N,total_N,total_time,prop_sparsity,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9,N_10
9.315304946916005,0.17840802478061749,8.6,86.0,35.69169,0.2833333333333333,12.0,10.0,6.0,4.0,9.0,10.0,11.0,5.0,12.0,7.0
9.315304946916005,0.17840802478061749,8.6,86.0,35.69169,0.2833333333333333,12.0,10.0,6.0,4.0,9.0,10.0,11.0,5.0,12.0,7.0
9.315304946916005,0.17840802478061749,8.6,86.0,35.69169,0.2833333333333333,12.0,10.0,6.0,4.0,9.0,10.0,11.0,5.0,12.0,7.0
9.315304946916005,0.17840802478061749,8.6,86.0,35.69169,0.2833333333333333,12.0,10.0,6.0,4.0,9.0,10.0,11.0,5.0,12.0,7.0
9.315304946916005,0.17840802478061749,8.6,86.0,35.69169,0.2833333333333333,12.0,10.0,6.0,4.0,9.0,10.0,11.0,5.0,12.0,7.0
9.315304946916005,0.17840802478061749,8.6,86.0,35.69169,0.2833333333333333,12.0,10.0,6.0,4.0,9.0,10.0,11.0,5.0,12.0,7.0
9.315304946916005,0.17840802478061749,8.6,86.0,35.69169,0.2833333333333333,12.0,10.0,6.0,4.0,9.0,10.0,11.0,5.0,12.0,7.0
9.315304946916005,0.17840802478061749,8.6,86.0,35.69169,0.2833333333333333,12.0,10.0,6.0,4.0,9.0,10.0,11.0,5.0,12.0,7.0
9.315304946916005,0.17840802478061749,8.6,86.0,35.69169,0.2833333333333333,12.0,10.0,6.0,4.0,9.0,10.0,11.0,5.0,12.0,7.0
9.315304946916005,0.17840802478061749,8.6,86.0,35.69169,0.2833333333333333,12.0,10.0,6.0,4.0,9.0,10.0,11.0,5.0,12.0,7.0
9.315304946916005,0.17840802478061749,8.6,86.0,35.69169,0.2833333333333333,12.0,10.0,6.0,4.0,9.0,10.0,11.0,5.0,12.0,7.0
9.315304946916005,0.17840802478061749,8.6,86.0,35.69169,0.2833333333333333,12.0,10.0,6.0,4.0,9.0,10.0,11.0,5.0,12.0,7.0
9.315304946916005,0.17840802478061749,8.6,86.0,35.69169,0.2833333333333333,12.0,10.0,6.0,4.0,9.0,10.0,11.0,5.0,12.0,7.0
9.315304946916005,0.17840802478061749,8.6,86.0,35.69169,0.2833333333333333,12.0,10.0,6.0,4.0,9.0,10.0,11.0,5.0,12.0,7.0
9.315304946916005,0.17840802478061749,8.6,86.0,35.69169,0.2833333333333333,12.0,10.0,6.0,4.0,9.0,10.0,11.0,5.0,12.0,7.0
9.315304946916005,0.17840802478061749,8.6,86.0,35.69169,0.2833333333333333,12.0,10.0,6.0,4.0,9.0,10.0,11.0,5.0,12.0,7.0
9.315304946916005,0.17840802478061749,8.6,86.0,35.69169,0.2833333333333333,12.0,10.0,6.0,4.0,9.0,10.0,11.0,5.0,12.0,7.0
9.315304946916005,0.17840802478061749,8.6,86.0,35.69169,0.2833333333333333,12.0,10.0,6.0,4.0,9.0,10.0,11.0,5.0,12.0,7.0
9.315304946916005,0.17840802478061749,8.6,86.0,35.69169,0.2833333333333333,12.0,10.0,6.0,4.0,9.0,10.0,11.0,5.0,12.0,7.0
9.315304946916005,0.17840802478061749,8.6,86.0,35.69169,0.2833333333333333,12.0,10.0,6.0,4.0,9.0,10.0,11.0,5.0,12.0,7.0
9.315304946916005,0.17840802478061749,8.6,86.0,35.69169,0.2833333333333333,12.0,10.0,6.0,4.0,9.0,10.0,11.0,5.0,12.0,7.0
9.315304946916005,0.17840802478061749,8.6,86.0,35.69169,0.2833333333333333,12.0,10.0,6.0,4.0,9.0,10.0,11.0,5.0,12.0,7.0
9.315304946916005,0.17840802478061749,8.6,86.0,35.69169,0.2833333333333333,12.0,10.0,6.0,4.0,9.0,10.0,11.0,5.0,12.0,7.0
9.315304946916005,0.17840802478061749,8.6,86.0,35.69169,0.2833333333333333,12.0,10.0,6.0,4.0,9.0,10.0,11.0,5.0,12.0,7.0
9.315304946916005,0.17840802478061749,8.6,86.0,35.69169,0.2833333333333333,12.0,10.0,6.0,4.0,9.0,10.0,11.0,5.0,12.0,7.0
9.315304946916005,0.17840802478061749,8.6,86.0,35.69169,0.2833333333333333,12.0,10.0,6.0,4.0,9.0,10.0,11.0,5.0,12.0,7.0
