lambda,p,avg_N,total_N,total_time,prop_sparsity,N_1,N_2,N_3,N_4,N_5
2.4510173950401417,0.6920045682451812,2.4,12.0,25.5103,0.13333333333333333,2.0,3.0,3.0,1.0,3.0
2.4510173950401417,0.6920045682451812,2.4,12.0,25.5103,0.13333333333333333,2.0,3.0,3.0,1.0,3.0
2.4510173950401417,0.6920045682451812,2.4,12.0,25.5103,0.13333333333333333,2.0,3.0,3.0,1.0,3.0
2.4510173950401417,0.6920045682451812,2.4,12.0,25.5103,0.13333333333333333,2.0,3.0,3.0,1.0,3.0
1.8779435858742641,0.6177445294528879,2.6,13.0,25.5103,0.13333333333333333,2.0,5.0,3.0,1.0,2.0
1.8779435858742641,0.6177445294528879,2.6,13.0,25.5103,0.13333333333333333,2.0,5.0,3.0,1.0,2.0
1.5867844210312247,0.6008375741814302,2.6,13.0,25.5103,0.13333333333333333,2.0,5.0,3.0,1.0,2.0
1.5867844210312247,0.6008375741814302,2.6,13.0,25.5103,0.13333333333333333,2.0,5.0,3.0,1.0,2.0
1.5867844210312247,0.6008375741814302,2.6,13.0,25.5103,0.13333333333333333,2.0,5.0,3.0,1.0,2.0
1.5867844210312247,0.6008375741814302,2.6,13.0,25.5103,0.13333333333333333,2.0,5.0,3.0,1.0,2.0
1.5867844210312247,0.6008375741814302,2.6,13.0,25.5103,0.13333333333333333,2.0,5.0,3.0,1.0,2.0
1.5867844210312247,0.6008375741814302,2.6,13.0,25.5103,0.13333333333333333,2.0,5.0,3.0,1.0,2.0
1.5867844210312247,0.6008375741814302,2.6,13.0,25.5103,0.13333333333333333,2.0,5.0,3.0,1.0,2.0
1.5867844210312247,0.6008375741814302,2.6,13.0,25.5103,0.13333333333333333,2.0,5.0,3.0,1.0,2.0
1.5867844210312247,0.6008375741814302,2.6,13.0,25.5103,0.13333333333333333,2.0,5.0,3.0,1.0,2.0
2.7901336056764596,0.5738522502857292,2.6,13.0,25.5103,0.13333333333333333,2.0,4.0,3.0,2.0,2.0
2.7901336056764596,0.5738522502857292,2.6,13.0,25.5103,0.13333333333333333,2.0,4.0,3.0,2.0,2.0
2.7901336056764596,0.5738522502857292,2.6,13.0,25.5103,0.13333333333333333,2.0,4.0,3.0,2.0,2.0
2.7901336056764596,0.5738522502857292,2.6,13.0,25.5103,0.13333333333333333,2.0,4.0,3.0,2.0,2.0
2.7901336056764596,0.5738522502857292,2.6,13.0,25.5103,0.13333333333333333,2.0,4.0,3.0,2.0,2.0
2.7901336056764596,0.5738522502857292,2.6,13.0,25.5103,0.13333333333333333,2.0,4.0,3.0,2.0,2.0
2.7901336056764596,0.5738522502857292,2.6,13.0,25.5103,0.13333333333333333,2.0,4.0,3.0,2.0,2.0
2.7901336056764596,0.5738522502857292,2.6,13.0,25.5103,0.13333333333333333,2.0,4.0,3.0,2.0,2.0
2.7901336056764596,0.5738522502857292,2.6,13.0,25.5103,0.13333333333333333,2.0,4.0,3.0,2.0,2.0
2.7901336056764596,0.5738522502857292,2.6,13.0,25.5103,0.13333333333333333,2.0,4.0,3.0,2.0,2.0
2.7901336056764596,0.5738522502857292,2.6,13.0,25.5103,0.13333333333333333,2.0,4.0,3.0,2.0,2.0
2.7901336056764596,0.5738522502857292,2.6,13.0,25.5103,0.13333333333333333,2.0,4.0,3.0,2.0,2.0
2.7901336056764596,0.5738522502857292,2.6,13.0,25.5103,0.13333333333333333,2.0,4.0,3.0,2.0,2.0
2.7901336056764596,0.5738522502857292,2.6,13.0,25.5103,0.13333333333333333,2.0,4.0,3.0,2.0,2.0
2.7901336056764596,0.5738522502857292,2.6,13.0,25.5103,0.13333333333333333,2.0,4.0,3.0,2.0,2.0
2.7901336056764596,0.5738522502857292,2.6,13.0,25.5103,0.13333333333333333,2.0,4.0,3.0,2.0,2.0
2.7901336056764596,0.5738522502857292,2.6,13.0,25.5103,0.13333333333333333,2.0,4.0,3.0,2.0,2.0
2.7901336056764596,0.5738522502857292,2.6,13.0,25.5103,0.13333333333333333,2.0,4.0,3.0,2.0,2.0
2.3567329421033025,0.46938069761465206,3.4,17.0,25.5103,0.13333333333333333,3.0,4.0,4.0,2.0,4.0
2.3567329421033025,0.46938069761465206,3.4,17.0,25.5103,0.13333333333333333,3.0,4.0,4.0,2.0,4.0
2.3567329421033025,0.46938069761465206,3.4,17.0,25.5103,0.13333333333333333,3.0,4.0,4.0,2.0,4.0
2.3567329421033025,0.46938069761465206,3.4,17.0,25.5103,0.13333333333333333,3.0,4.0,4.0,2.0,4.0
2.3567329421033025,0.46938069761465206,3.4,17.0,25.5103,0.13333333333333333,3.0,4.0,4.0,2.0,4.0
2.3567329421033025,0.46938069761465206,3.4,17.0,25.5103,0.13333333333333333,3.0,4.0,4.0,2.0,4.0
2.3567329421033025,0.46938069761465206,3.4,17.0,25.5103,0.13333333333333333,3.0,4.0,4.0,2.0,4.0
2.3567329421033025,0.46938069761465206,3.4,17.0,25.5103,0.13333333333333333,3.0,4.0,4.0,2.0,4.0
2.3567329421033025,0.46938069761465206,3.4,17.0,25.5103,0.13333333333333333,3.0,4.0,4.0,2.0,4.0
2.3567329421033025,0.46938069761465206,3.4,17.0,25.5103,0.13333333333333333,3.0,4.0,4.0,2.0,4.0
4.336640527745928,0.4742444594777378,3.0,15.0,25.5103,0.13333333333333333,3.0,4.0,4.0,2.0,2.0
3.812048030269116,0.46419947782911863,2.6,13.0,25.5103,0.13333333333333333,2.0,5.0,3.0,1.0,2.0
3.812048030269116,0.46419947782911863,2.6,13.0,25.5103,0.13333333333333333,2.0,5.0,3.0,1.0,2.0
3.298544176133767,0.4545782273319828,2.4,12.0,25.5103,0.13333333333333333,2.0,3.0,4.0,1.0,2.0
3.298544176133767,0.4545782273319828,2.4,12.0,25.5103,0.13333333333333333,2.0,3.0,4.0,1.0,2.0
3.298544176133767,0.4545782273319828,2.4,12.0,25.5103,0.13333333333333333,2.0,3.0,4.0,1.0,2.0
3.298544176133767,0.4545782273319828,2.4,12.0,25.5103,0.13333333333333333,2.0,3.0,4.0,1.0,2.0
