true_lambda,lambda,true_p,p,true_avg_N,avg_N,N
2,5.941374231759844,0.25,0.04930824829772551,2.0,6.95,"[6, 8, 9, 12, 7, 8, 5, 4, 9, 4, 5, 4, 9, 8, 8, 4, 8, 6, 8, 7]"
2,5.706772019559699,0.25,0.09997356957174752,2.0,5.1,"[7, 4, 3, 5, 5, 6, 3, 3, 3, 6, 4, 3, 10, 2, 7, 7, 4, 6, 6, 8]"
2,5.665661555171044,0.25,0.09983852918009362,2.0,6.75,"[5, 7, 4, 9, 5, 12, 7, 9, 7, 7, 8, 5, 6, 6, 8, 5, 5, 5, 8, 7]"
2,4.2713033759885235,0.25,0.08687268366797019,2.0,4.65,"[2, 6, 7, 6, 4, 8, 6, 8, 3, 5, 1, 5, 3, 3, 7, 1, 6, 7, 1, 4]"
2,4.958831979062886,0.25,0.08529549937646819,2.0,6.05,"[7, 8, 6, 7, 6, 10, 5, 6, 4, 8, 4, 4, 5, 7, 7, 4, 5, 10, 3, 5]"
2,5.930279951449773,0.25,0.06780526611412985,2.0,7.05,"[6, 8, 9, 8, 9, 11, 6, 7, 4, 6, 10, 5, 8, 7, 4, 8, 7, 4, 8, 6]"
2,3.6379957092641906,0.25,0.1275733982301469,2.0,2.6,"[2, 2, 1, 4, 2, 7, 2, 1, 3, 2, 3, 1, 3, 7, 2, 0, 4, 2, 3, 1]"
2,2.8280501069538717,0.25,0.10662492665549084,2.0,3.2,"[3, 6, 1, 1, 1, 7, 6, 4, 2, 4, 3, 2, 2, 3, 5, 1, 2, 6, 1, 4]"
2,5.695751027426783,0.25,0.06531705318147851,2.0,6.3,"[7, 5, 8, 5, 12, 7, 9, 4, 7, 5, 9, 2, 5, 6, 2, 5, 5, 6, 9, 8]"
2,5.021931614568364,0.25,0.05489495614079043,2.0,4.75,"[3, 2, 3, 10, 2, 11, 5, 6, 2, 6, 9, 0, 2, 3, 5, 3, 6, 2, 8, 7]"
